id_cliente,idade,genero,renda_mensal,saldo_conta,score_credito,possui_cartao_credito,numero_transacoes_mes,media_valor_transacao,atrasos_pagamento,tipo_conta,usa_app_mobile,participa_programa_fidelidade,satisfacao_geral,churn
1,56,masculino,8921,5124,403,não,8,276.55,2,investimento,não,não,5,ativo
2,69,feminino,11449,1015,338,não,10,598.97,0,poupança,não,sim,4,ativo
3,46,feminino,5952,2193,497,sim,62,688.38,3,investimento,sim,não,4,ativo
4,32,feminino,11762,8415,878,não,26,553.57,4,poupança,sim,sim,2,inativo
5,60,feminino,7381,13550,690,não,30,657.15,4,salário,sim,sim,3,ativo
6,25,feminino,8165,14512,478,sim,7,624.99,1,investimento,sim,sim,3,inativo
7,38,feminino,4349,4158,853,sim,45,162.28,1,salário,sim,sim,1,ativo
8,56,masculino,12943,6970,747,não,64,367.96,4,corrente,sim,não,1,ativo
9,36,masculino,8890,6938,799,sim,18,164.74,4,salário,sim,não,5,inativo
10,40,feminino,8405,13772,314,sim,79,226.43,3,salário,não,sim,2,ativo
11,28,masculino,13422,18017,588,sim,16,701.94,2,poupança,sim,sim,1,ativo
12,28,masculino,3989,10344,777,não,16,404.67,1,salário,sim,sim,1,ativo
13,41,masculino,11323,7266,530,não,17,451.52,2,investimento,sim,sim,2,ativo
14,53,masculino,12508,8702,719,não,29,183.83,3,poupança,sim,sim,5,ativo
15,57,feminino,10707,384,456,sim,49,284.2,4,corrente,sim,sim,1,inativo
16,41,masculino,11040,404,849,não,23,222.68,2,investimento,sim,não,5,ativo
17,20,masculino,6111,8175,740,não,59,204.64,4,corrente,sim,não,4,ativo
18,39,feminino,12779,15158,396,sim,49,528.47,4,salário,sim,sim,5,ativo
19,19,feminino,4339,12763,710,não,12,242.66,0,investimento,sim,não,3,ativo
20,41,masculino,10027,18384,588,sim,57,524.01,2,investimento,sim,sim,3,ativo
21,61,masculino,7378,9860,553,sim,59,93.84,2,corrente,sim,sim,5,ativo
22,47,masculino,14284,5989,495,sim,36,156.33,4,investimento,não,sim,3,ativo
23,55,masculino,10587,15106,897,sim,55,255.91,3,investimento,sim,não,4,ativo
24,19,masculino,7803,17844,821,sim,48,497.79,0,investimento,sim,não,2,ativo
25,38,masculino,13238,3636,816,sim,74,556.88,4,salário,sim,não,3,ativo
26,50,feminino,2351,10916,417,sim,22,382.04,1,corrente,sim,sim,3,ativo
27,29,masculino,3187,4809,458,não,26,384.34,1,investimento,sim,não,5,ativo
28,39,masculino,11623,13456,527,sim,41,593.39,0,poupança,sim,sim,4,inativo
29,61,feminino,8333,15444,515,sim,60,61.87,3,poupança,sim,não,2,ativo
30,42,feminino,13438,5997,314,sim,63,305.82,4,poupança,sim,sim,5,ativo
31,66,feminino,3927,2048,456,não,7,664.03,2,poupança,sim,sim,5,ativo
32,44,feminino,11260,12338,560,sim,32,502.41,0,salário,sim,sim,4,ativo
33,59,masculino,5500,17100,456,sim,78,302.92,3,investimento,sim,não,2,ativo
34,45,masculino,6552,4544,346,não,39,729.14,2,corrente,não,sim,4,ativo
35,33,masculino,4238,4976,623,sim,65,629.47,1,investimento,sim,não,2,ativo
36,32,masculino,13190,12775,429,sim,58,248.67,1,salário,sim,sim,4,ativo
37,64,masculino,7232,10015,710,sim,67,533.97,2,poupança,sim,não,5,ativo
38,68,masculino,6887,3419,394,não,11,496.81,0,salário,sim,não,5,ativo
39,61,feminino,9502,14430,591,sim,53,350.89,1,investimento,sim,não,1,ativo
40,69,masculino,7036,7239,582,não,35,325.22,4,corrente,sim,sim,3,ativo
41,20,feminino,14979,14489,368,sim,62,307.67,2,salário,sim,sim,4,inativo
42,54,feminino,5413,16633,310,não,65,512.87,2,corrente,sim,sim,1,inativo
43,68,masculino,2566,10357,553,não,28,381.81,1,salário,sim,não,3,inativo
44,24,feminino,9223,17154,849,não,24,673.9,0,corrente,sim,sim,4,inativo
45,38,masculino,5880,4363,433,sim,41,552.2,4,corrente,sim,sim,2,inativo
46,26,feminino,12136,10176,322,não,8,102.45,0,poupança,sim,sim,3,ativo
47,56,masculino,5607,17461,645,sim,24,530.13,3,corrente,sim,sim,5,ativo
48,35,feminino,7226,8427,601,sim,64,253.36,3,poupança,não,não,1,ativo
49,21,masculino,4873,8580,662,sim,28,494.61,1,investimento,sim,sim,3,ativo
50,42,masculino,13661,4858,695,não,54,560.1,1,investimento,sim,não,3,ativo
51,31,masculino,12238,10040,517,não,53,223.12,1,poupança,sim,sim,5,ativo
52,67,masculino,10445,19198,440,não,55,392.64,3,poupança,não,sim,4,ativo
53,26,masculino,3582,19758,509,sim,40,192.74,0,salário,sim,sim,2,ativo
54,43,feminino,12466,15254,759,sim,70,89.25,0,salário,sim,sim,5,inativo
55,19,feminino,12588,11470,655,não,38,333.86,1,salário,sim,sim,2,ativo
56,37,feminino,13877,1252,623,sim,40,322.21,4,investimento,sim,não,4,ativo
